Files already downloaded and verified
Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAcc.	EndTime.
75	0.500000	1.134876	1.589054	67.288000	60.350000	03/05 22:43:34
76	0.500000	1.088052	1.346134	68.432000	62.810000	03/05 22:47:31
77	0.500000	1.096321	1.218054	68.402000	65.400000	03/05 22:51:27
78	0.500000	1.106443	1.363642	67.904000	62.220000	03/05 22:55:24
79	0.500000	1.124638	1.296240	67.418000	64.200000	03/05 22:59:21
80	0.500000	1.099522	1.290220	68.102000	65.190000	03/05 23:03:18
81	0.500000	1.105855	1.361803	68.104000	63.020000	03/05 23:07:15
82	0.500000	1.110711	1.322938	67.990000	63.440000	03/05 23:11:12
83	0.500000	1.122971	1.183929	67.624000	66.730000	03/05 23:15:08
84	0.500000	1.111696	1.244819	67.868000	65.710000	03/05 23:19:05
85	0.500000	1.107689	1.234433	68.132000	65.730000	03/05 23:23:02
86	0.500000	1.111953	1.221547	68.032000	65.200000	03/05 23:26:59
87	0.500000	1.105074	1.218176	68.074000	65.440000	03/05 23:30:55
88	0.500000	1.102205	1.233768	68.190000	65.660000	03/05 23:34:52
89	0.500000	1.122542	1.421443	67.582000	61.810000	03/05 23:38:47
90	0.500000	1.109744	1.271109	68.082000	64.940000	03/05 23:42:44
91	0.500000	1.114464	1.335223	67.868000	63.600000	03/05 23:46:40
92	0.500000	1.119303	1.304543	67.862000	63.740000	03/05 23:50:36
93	0.500000	1.124945	1.276698	67.378000	64.850000	03/05 23:54:33
94	0.500000	1.137642	1.270115	67.342000	64.210000	03/05 23:58:30
95	0.500000	1.105227	1.327484	68.066000	63.850000	03/06 00:02:26
96	0.500000	1.111610	1.295219	67.980000	64.000000	03/06 00:06:23
97	0.500000	1.119010	1.361064	67.580000	63.790000	03/06 00:10:19
98	0.500000	1.120844	1.249168	67.634000	65.090000	03/06 00:14:16
99	0.500000	1.124229	1.321786	67.538000	63.550000	03/06 00:18:13
100	0.500000	1.111718	1.277391	68.036000	65.500000	03/06 00:22:11
101	0.500000	1.109862	1.410560	67.904000	60.880000	03/06 00:26:08
102	0.500000	1.125512	1.217844	67.526000	65.520000	03/06 00:30:04
103	0.500000	1.104404	1.234274	67.782000	66.610000	03/06 00:34:01
104	0.500000	1.119514	1.337921	67.884000	63.750000	03/06 00:37:58
105	0.500000	1.121849	1.401397	67.766000	63.170000	03/06 00:41:55
106	0.500000	1.125972	1.358646	67.654000	63.340000	03/06 00:45:51
107	0.500000	1.129229	1.214599	67.624000	66.560000	03/06 00:49:48
108	0.500000	1.116447	1.279258	67.868000	64.870000	03/06 00:53:45
109	0.500000	1.123516	1.279706	67.182000	64.460000	03/06 00:57:42
110	0.500000	1.103958	1.353950	68.124000	62.320000	03/06 01:01:39
111	0.500000	1.109048	1.329339	67.834000	63.280000	03/06 01:05:36
112	0.500000	1.126076	1.265448	67.596000	64.890000	03/06 01:09:33
113	0.500000	1.110241	1.410750	67.906000	61.900000	03/06 01:13:30
114	0.500000	1.111951	1.362625	67.946000	62.790000	03/06 01:17:26
115	0.500000	1.114944	1.284425	67.896000	65.250000	03/06 01:21:23
116	0.500000	1.134104	1.242927	67.466000	65.390000	03/06 01:25:19
117	0.500000	1.124027	1.289430	67.496000	64.640000	03/06 01:29:15
118	0.500000	1.114845	1.181600	67.774000	66.260000	03/06 01:33:12
119	0.500000	1.129994	1.231851	67.378000	64.940000	03/06 01:37:09
120	0.500000	1.117815	1.437905	67.872000	61.600000	03/06 01:41:05
121	0.500000	1.136748	1.300481	67.364000	63.980000	03/06 01:45:02
122	0.500000	1.129042	1.284520	67.550000	64.930000	03/06 01:48:59
